patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
132b86dc_lib_vmalloc__vmstrdup.c,0,3,0,2,103,213,0,0,0,799,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/vmalloc//vmstrdup.c
132b86dc_lib_cgraph__utils.c,0,7,0,2,240,476,0,0,0,1329,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/cgraph//utils.c
132b86dc_cmd_dot__dot.c,0,13,0,2,378,811,0,0,0,2878,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/dot//dot.c
132b86dc_cmd_dot__no_builtins.c,0,0,0,2,23,39,0,0,0,575,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/dot//no_builtins.c
132b86dc_lib_label__rectangle.c,0,25,0,2,697,1522,0,0,0,3592,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/label//rectangle.c
132b86dc_lib_glcomp__glcomppanel.c,0,30,0,2,608,1352,0,0,0,2241,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glcomppanel.c
132b86dc_cmd_edgepaint__edgepaintmain.c,0,87,0,2,2211,4573,0,0,0,8949,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/edgepaint//edgepaintmain.c
132b86dc_cmd_gvmap__cluster.c,0,29,0,2,821,1664,0,0,0,3147,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvmap//cluster.c
132b86dc_lib_edgepaint__lab.c,0,133,0,2,2965,6993,0,0,0,7605,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/edgepaint//lab.c
132b86dc_lib_glcomp__glcompset.c,0,110,0,2,2402,5421,0,0,0,6753,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glcompset.c
132b86dc_lib_glcomp__glcomptextpng.c,0,4,0,2,146,287,0,0,0,1123,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glcomptextpng.c
132b86dc_lib_label__split.q.c,0,161,0,2,3351,7433,0,0,0,11252,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/label//split.q.c
132b86dc_lib_glcomp__glcomptexture.c,0,54,0,2,1159,2613,0,0,0,4233,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glcomptexture.c
132b86dc_cmd_gvmap__country_graph_coloring.c,0,69,0,2,1769,3995,0,0,0,4601,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvmap//country_graph_coloring.c
132b86dc_plugin_gd__gvrender_gd.c,0,222,0,2,4997,10880,0,0,0,17837,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gd//gvrender_gd.c
132b86dc_plugin_vt__gvplugin_vt.c,0,224,0,2,3847,7735,0,0,0,10556,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/vt//gvplugin_vt.c
132b86dc_lib_glcomp__glpangofont.c,0,24,0,2,560,1176,0,0,0,2774,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glpangofont.c
132b86dc_plugin_webp__gvdevice_webp.c,0,24,0,2,793,1481,0,0,0,4059,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/webp//gvdevice_webp.c
132b86dc_plugin_webp__gvloadimage_webp.c,0,39,0,2,1218,2340,0,0,0,4880,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/webp//gvloadimage_webp.c
132b86dc_plugin_webp__gvplugin_webp.c,0,2,0,2,93,169,0,0,0,958,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/webp//gvplugin_webp.c
132b86dc_lib_cgraph__write.c,0,287,0,2,6726,14785,0,0,0,18579,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/cgraph//write.c
132b86dc_lib_circogen__block.c,0,19,0,2,641,1311,0,0,0,2027,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//block.c
132b86dc_cmd_gvmap__gvmap.c,0,147,0,2,3206,6768,0,0,0,13185,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvmap//gvmap.c
132b86dc_lib_xdot__xdot.c,0,359,0,2,8946,18845,0,0,0,21830,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/xdot//xdot.c
132b86dc_lib_glcomp__glutils.c,0,167,0,2,3678,8736,0,0,0,10174,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/glcomp//glutils.c
132b86dc_lib_gvc__gvc.c,0,67,0,2,1729,3773,0,0,0,6755,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvc.c
132b86dc_lib_label__xlabels.c,0,280,0,2,5705,13616,0,0,0,16628,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/label//xlabels.c
