patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
b7421bf8_lib_src__lib.c,0,1,0,2,73,119,0,0,0,280,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,lib/src//lib.c
b7421bf8_test_fixtures_test_grammars_depends_on_column__scanner.c,0,4,0,2,171,310,0,0,0,804,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/depends_on_column//scanner.c
b7421bf8_cli_src_templates__py-binding.c,0,5,0,2,201,347,0,0,0,705,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,cli/src/templates//py-binding.c
b7421bf8_test_fixtures_test_grammars_get_col_eof__scanner.c,0,6,0,2,224,427,0,0,0,1063,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/get_col_eof//scanner.c
b7421bf8_test_fixtures_test_grammars_external_extra_tokens__scanner.c,0,7,0,2,246,470,0,0,0,904,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/external_extra_tokens//scanner.c
b7421bf8_test_fixtures_test_grammars_epsilon_external_tokens__scanner.c,0,3,0,2,149,260,0,0,0,695,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/epsilon_external_tokens//scanner.c
b7421bf8_test_fixtures_test_grammars_get_col_should_hang_not_crash__scanner.c,0,3,0,2,126,228,0,0,0,652,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/get_col_should_hang_not_crash//scanner.c
b7421bf8_test_fixtures_test_grammars_external_and_internal_tokens__scanner.c,0,12,0,2,401,813,0,0,0,1548,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/external_and_internal_tokens//scanner.c
b7421bf8_test_fixtures_test_grammars_external_and_internal_anonymous_tokens__scanner.c,0,13,0,2,401,813,0,0,0,1602,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/external_and_internal_anonymous_tokens//scanner.c
b7421bf8_test_fixtures_test_grammars_inverted_external_token__scanner.c,0,10,0,2,312,614,0,0,0,1177,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/inverted_external_token//scanner.c
b7421bf8_lib_src_wasm__stdlib.c,0,27,0,2,779,1614,0,0,0,2830,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,lib/src/wasm//stdlib.c
b7421bf8_test_fixtures_test_grammars_external_unicode_column_alignment__scanner.c,0,17,0,2,556,1163,0,0,0,2009,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,test/fixtures/test_grammars/external_unicode_column_alignment//scanner.c
b7421bf8_lib_src__alloc.c,0,16,0,2,492,991,0,0,0,1542,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,lib/src//alloc.c
b7421bf8_lib_src__language.c,0,60,0,2,1840,3804,0,0,0,6472,b7421bf89f993fc48d6e8c6f38e3f1aed96372b8,lib/src//language.c
