patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed
001_delete-stmt_fn-'msm_diff_generic'-delete-from-b3342.patch,1,185,137,0,5261,11670,5261,11654,4
002_insert-decl_fn-'msm_substr_from_str'-insert-at-969298.patch,1,187,19,0,5268,11685,5268,11676,3
003_rename-local_fn-'msm_proc_raw_diffs'-rename-'segment'-to-'new_segment_765913'.patch,86,187,1187,0,5268,11684,5301,10572,86
004_modify-num-lit_1-to-6.patch,1,182,53,1,5268,11684,5268,11684,1
005_add-comment_fn-'compare_char_seq'.patch,1,187,146,0,5269,11686,5044,11165,2
006_delete-stmt_fn-'msm_add_dff_segment'-delete-from-b1173.patch,1,177,17,0,5174,11471,5174,11476,4
007_insert-decl_fn-'msm_free_lines'-insert-at-154446.patch,1,179,14,0,5181,11486,5181,11481,3
008_rename-local_fn-'msm_diff'-rename-'a_len'-to-'new_a_len_420186'.patch,2,180,18,0,5181,11485,5158,11423,2
009_modify-num-lit_1-to-6.patch,1,176,51,1,5181,11485,5181,11485,1
010_add-comment_fn-'msm_diff_chars'.patch,1,174,141,0,5182,11487,5122,11365,2
011_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b13344.patch,1,176,62,1,5173,11464,5173,11464,3
012_insert-decl_fn-'msm_proc_raw_diffs'-insert-at-9858.patch,1,174,156,0,5180,11479,5180,11448,3
013_rename-local_fn-'compare_char_seq'-rename-'prev_b'-to-'new_prev_b_758254'.patch,2,178,20,0,5180,11479,5168,11450,2
014_modify-num-lit_2-to-3.patch,1,178,87,0,5180,11479,5180,11477,1
015_add-comment_fn-'compare_char_seq'.patch,1,180,144,0,5181,11481,4956,10960,2
016_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b11208.patch,1,175,59,0,5154,11422,5154,11430,3
017_insert-decl_fn-'msm_free_lines'-insert-at-426397.patch,1,176,15,0,5161,11437,5161,11432,2
018_rename-local_fn-'msm_diff_generic'-rename-'temp'-to-'new_temp_183207'.patch,2,173,216,0,5161,11437,5161,11424,2
019_modify-num-lit_1-to-2.patch,1,174,53,1,5161,11437,5161,11437,1
020_add-comment_fn-'msm_create_diff_result'.patch,1,174,139,0,5162,11439,5059,11225,2
021_delete-stmt_fn-'msm_diff_generic'-delete-from-b6257.patch,1,175,58,0,5157,11427,5157,11428,3
022_insert-decl_fn-'test_msm'-insert-at-106211.patch,1,180,55,0,5164,11442,5165,11426,4
023_rename-local_fn-'compare_char_seq'-rename-'next_a'-to-'new_next_a_151155'.patch,2,174,50,0,5164,11442,5164,11437,2
024_modify-num-lit_16-to-17.patch,1,174,53,1,5164,11442,5164,11442,1
025_add-comment_fn-'msm_add_dff_segment'.patch,1,174,140,0,5165,11444,5124,11357,2
026_delete-stmt_fn-'<anon>'-delete-from-b22305.patch,1,170,26,0,4976,11014,4976,11013,3
